Released,Title,ProdBudget,DomesticBO,InternationalBO,CPI,InflAdjBudget,InflAdjDomesticBO
1997-05-09,Father's Day,8.5e+07,28681080,7e+06,160.1,134024453.466583,45223130.2568395
1997-04-11,Grosse Pointe Blank,1.5e+07,28084357,2986055,160.2,23636610.4868914,44254600.4789201
1997-09-26,The Edge,0,27799255,6300000,161.2,0,43533598.8396092
1997-08-15,Event Horizon,6e+07,26673242,0,160.8,94193656.7164179,41874170.007699
1997-12-25,An American Werewolf in Paris,0,26570463,0,161.3,0,41583515.8664414
1997-10-10,Boogie Nights,1.5e+07,26410771,16700954,161.6,23431837.8712871,41256860.2751795
1997-04-18,Murder at 1600,0,25842024,0,160.2,0,40721190.3653933
1997-08-22,Mimic,0,25514166,0,160.8,0,40054543.2268284
1997-11-21,Midnight in the Garden of Good and Evil,3.5e+07,25078937,0,161.5,54708142.4148607,39200630.2002662
1997-08-01,Air Bud,3e+06,24646936,3141713,160.8,4709682.83582089,38693083.811592
1997-07-25,Good Burger,0,23712993,0,160.5,0,37296475.0151215
1997-08-27,Hoodlum,0,23489997,0,160.8,0,36876811.8947948
1997-10-31,Red Corner,0,22442815,0,161.6,0,35058426.8303527
1997-12-25,Mr. Magoo,0,21437192,7500000,161.3,0,33549803.5417731
1997-12-17,The Apostle,5e+06,20733485,544285,161.3,7825139.4916305,32448482.4545257
1997-02-26,Booty Call,0,20066917,0,159.6,0,31739802.38448
1997-05-30,Gone Fishin',0,19745922,0,160.1,0,31134545.9322798
1997-07-11,Thrill Ride: The Science of Fun,0,18798682,12480529,160.5,0,29567105.8280249
1997-02-14,That Darn Cat,0,18301828,0,159.6,0,28947964.6522055
1997-12-25,The Postman,8e+07,17650704,3190419,161.3,125202231.866088,27623844.1850961
1997-04-04,That Old Feeling,0,16408534,830684,160.2,0,25856141.7879276
1997-09-05,Fire Down Below,0,16148906,0,161.2,0,25289166.7601365
1997-09-19,Wes Craven's Wishmaster,0,15719109,0,161.2,0,24616105.1913834
1997-10-10,Rocket Man,0,15448043,0,161.6,0,24131735.9336448
1997-11-07,Eve's Bayou,5e+06,14843425,0,161.5,7815448.91640867,23201605.9664087
1997-03-28,The Sixth Man,0,14765099,0,160,0,23295542.6653813
1997-01-10,Jackie Chan’s First Strike,0,14601662,0,159.1,0,23168000.9655437
1997-08-29,Excess Baggage,0,14351432,0,160.8,0,22530230.9866169
1997-10-24,Fairytale: A True Story,0,14059077,0,161.6,0,21962000.8589295
1997-08-06,Def Jam's How To Be a Player,1.2e+07,14010363,0,160.8,18838731.3432836,21994788.7149067
1997-11-14,The Man Who Knew Too Little,2e+07,13801755,0,161.5,31261795.6656347,21573382.2318576
1998-07-24,Saving Private Ryan,6.5e+07,216335085,268700000,163.2,100542493.872549,334628753.20046
