movie,distributor,gross,percent_change,theaters,per_theater,total_gross,days,date,lc_movie
An American Werewolf in Paris,Walt Disney,3450000,,1728,1997,3450000,1,1997-12-25,an american werewolf in paris
Scream 2,Miramax,2740000,273,2663,1029,62317000,14,1997-12-25,scream 2
Scream 2,Miramax,1727211,,2670,647,72827225,18,1997-12-29,scream 2
An American Werewolf in Paris,Walt Disney,1075414,,1728,622,12061191,5,1997-12-29,an american werewolf in paris
Scream 2,Miramax,1470000,-15,2670,551,73990000,19,1997-12-30,scream 2
An American Werewolf in Paris,Walt Disney,1050000,-2,1728,608,13111000,6,1997-12-30,an american werewolf in paris
Scream 2,Miramax,950000,-35,2670,356,74940000,20,1997-12-31,scream 2
An American Werewolf in Paris,Walt Disney,716000,-32,1728,414,13827000,7,1997-12-31,an american werewolf in paris
Scream 2,Miramax,2230000,135,2670,835,77170000,21,1998-01-01,scream 2
An American Werewolf in Paris,Walt Disney,1790000,150,1728,1036,15617000,8,1998-01-01,an american werewolf in paris
Scream 2,Miramax,2415000,8,2688,898,79585000,22,1998-01-02,scream 2
An American Werewolf in Paris,Walt Disney,1700000,-5,1731,982,17317000,9,1998-01-02,an american werewolf in paris
Scream 2,Miramax,2780000,15,2688,1034,82365000,23,1998-01-03,scream 2
An American Werewolf in Paris,Walt Disney,1845000,9,1731,1066,19162000,10,1998-01-03,an american werewolf in paris
Scream 2,Miramax,1429000,-49,2688,532,85492042,24,1998-01-04,scream 2
An American Werewolf in Paris,Walt Disney,1010000,-45,1731,583,20056331,11,1998-01-04,an american werewolf in paris
Scream 2,Miramax,498017,-65,2688,185,85990059,25,1998-01-05,scream 2
An American Werewolf in Paris,Walt Disney,330276,-67,1731,191,20386607,12,1998-01-05,an american werewolf in paris
Scream 2,Miramax,524436,5,2688,195,86514495,26,1998-01-06,scream 2
An American Werewolf in Paris,Walt Disney,342936,4,1731,198,20729443,13,1998-01-06,an american werewolf in paris
Scream 2,Miramax,413585,-21,2688,154,86928080,27,1998-01-07,scream 2
An American Werewolf in Paris,Walt Disney,263362,-23,1731,152,20992565,14,1998-01-07,an american werewolf in paris
Scream 2,Miramax,389230,-6,2688,145,87317310,28,1998-01-08,scream 2
An American Werewolf in Paris,Walt Disney,255202,-3,1731,147,21248007,15,1998-01-08,an american werewolf in paris
Scream 2,Miramax,980000,152,2332,420,88180000,29,1998-01-09,scream 2
Scream 2,Miramax,1715000,75,2332,735,89995000,30,1998-01-10,scream 2
Scream 2,Miramax,736000,-57,2332,316,90781396,31,1998-01-11,scream 2
Scream 2,Miramax,227198,-69,2332,97,91008594,32,1998-01-12,scream 2
Scream 2,Miramax,256146,13,2332,110,91264710,33,1998-01-13,scream 2
Scream 2,Miramax,206278,-19,2332,88,91471015,34,1998-01-14,scream 2
Scream 2,Miramax,234999,14,2332,101,91706017,35,1998-01-15,scream 2
Phantoms,Miramax,735000,,1859,395,735000,1,1998-01-23,phantoms
Phantoms,Miramax,1505000,105,1859,810,2240000,2,1998-01-24,phantoms
Phantoms,Miramax,596000,-60,1859,321,3066000,3,1998-01-25,phantoms
Phantoms,Miramax,271615,-54,1859,146,3337566,4,1998-01-26,phantoms
Phantoms,Miramax,248660,-8,1859,134,3586826,5,1998-01-27,phantoms
Phantoms,Miramax,207040,-17,1859,111,3793866,6,1998-01-28,phantoms
Phantoms,Miramax,206163,,1859,111,4000029,7,1998-01-29,phantoms
Deep Rising,Walt Disney,1430000,,1758,813,1430000,1,1998-01-30,deep rising
Deep Rising,Walt Disney,2105000,47,1758,1197,3535000,2,1998-01-31,deep rising
Deep Rising,Walt Disney,1287000,-39,1758,732,4737793,3,1998-02-01,deep rising
Deep Rising,Walt Disney,303399,-76,1758,173,5041192,4,1998-02-02,deep rising
Deep Rising,Walt Disney,331339,9,1758,188,5372931,5,1998-02-03,deep rising
Deep Rising,Walt Disney,249901,-25,1758,142,5622832,6,1998-02-04,deep rising
Deep Rising,Walt Disney,243369,-3,1758,138,5866201,7,1998-02-05,deep rising
Deep Rising,Walt Disney,645000,165,1788,361,6511000,8,1998-02-06,deep rising
Deep Rising,Walt Disney,1100000,71,1788,615,7611000,9,1998-02-07,deep rising
Deep Rising,Walt Disney,712000,-35,1788,398,8323000,10,1998-02-08,deep rising
Deep Rising,Walt Disney,175698,-75,1788,98,8559382,11,1998-02-09,deep rising
Deep Rising,Walt Disney,180886,3,1788,101,8740268,12,1998-02-10,deep rising
Deep Rising,Walt Disney,163986,-9,1788,92,8894254,13,1998-02-11,deep rising
Deep Rising,Walt Disney,165000,1,1788,92,9059000,14,1998-02-12,deep rising
Sphere,Warner Bros.,3910000,,2814,1389,3910000,1,1998-02-13,sphere
Sphere,Warner Bros.,6270000,60,2814,2228,10180000,2,1998-02-14,sphere
Sphere,Warner Bros.,6420000,2,2814,2281,14433957,3,1998-02-15,sphere
Sphere,Warner Bros.,2152808,-66,2814,765,16586765,4,1998-02-16,sphere
Sphere,Warner Bros.,1024440,-52,2814,364,17611205,5,1998-02-17,sphere
Sphere,Warner Bros.,803363,-22,2814,285,18414568,6,1998-02-18,sphere
Sphere,Warner Bros.,763618,-5,2814,271,19178186,7,1998-02-19,sphere
Sphere,Warner Bros.,2110000,176,2814,750,21288000,8,1998-02-20,sphere
Sphere,Warner Bros.,3505000,66,2814,1246,24793000,9,1998-02-21,sphere
Sphere,Warner Bros.,2070000,-41,2814,736,26863000,10,1998-02-22,sphere
Sphere,Warner Bros.,476011,-77,2814,169,27338319,11,1998-02-23,sphere
Sphere,Warner Bros.,520124,9,2814,185,27858469,12,1998-02-24,sphere
Sphere,Warner Bros.,393046,-24,2814,140,28249554,13,1998-02-25,sphere
Sphere,Warner Bros.,405000,3,2814,144,28654000,14,1998-02-26,sphere
Sphere,Warner Bros.,1015000,151,2238,454,29669000,15,1998-02-27,sphere
Sphere,Warner Bros.,1740000,71,2238,777,31409000,16,1998-02-28,sphere
Sphere,Warner Bros.,1045000,-40,2238,467,32463000,17,1998-03-01,sphere
Sphere,Warner Bros.,248819,-76,2238,111,32711468,18,1998-03-02,sphere
Sphere,Warner Bros.,306497,23,2238,137,33017965,19,1998-03-03,sphere
Sphere,Warner Bros.,245606,-20,2238,110,33263571,20,1998-03-04,sphere
Sphere,Warner Bros.,248759,1,2238,111,33512330,21,1998-03-05,sphere
Scream 2,Miramax,575000,,1769,325,96889000,134,1998-04-24,scream 2
Scream 2,Miramax,785000,37,1775,442,97674000,135,1998-04-25,scream 2
Scream 2,Miramax,432000,-45,1769,244,98105000,136,1998-04-26,scream 2
Disturbing Behavior,MGM,2805000,,1842,1523,2805000,1,1998-07-24,disturbing behavior
Disturbing Behavior,MGM,2365000,-16,1842,1284,5170000,2,1998-07-25,disturbing behavior
Disturbing Behavior,MGM,1957000,-17,1842,1062,7070714,3,1998-07-26,disturbing behavior
Disturbing Behavior,MGM,906838,-54,1842,492,7977552,4,1998-07-27,disturbing behavior
Disturbing Behavior,MGM,919044,1,1842,499,8896596,5,1998-07-28,disturbing behavior
Disturbing Behavior,MGM,700711,-24,1842,380,9597307,6,1998-07-29,disturbing behavior
Blade,New Line,5885000,,2322,2534,5885000,1,1998-08-21,blade
Blade,New Line,6190000,5,2322,2666,11775000,2,1998-08-22,blade
Blade,New Line,5025000,-19,2322,2164,17100000,3,1998-08-23,blade
Blade,New Line,1963480,-61,2322,846,19037336,4,1998-08-24,blade
Blade,New Line,2017182,3,2322,869,21054518,5,1998-08-25,blade
Blade,New Line,1600506,-21,2322,689,22655024,6,1998-08-26,blade
Blade,New Line,1562605,-2,2322,673,24217629,7,1998-08-27,blade
Blade,New Line,3045000,95,2351,1295,26856000,8,1998-08-28,blade
Blade,New Line,4470000,47,2351,1901,31326000,9,1998-08-29,blade
Blade,New Line,3329000,-26,2351,1416,34737000,10,1998-08-30,blade
Blade,New Line,1082370,-67,2351,460,35818992,11,1998-08-31,blade
Blade,New Line,1150019,6,2351,489,36969011,12,1998-09-01,blade
Blade,New Line,942399,-18,2351,401,37911410,13,1998-09-02,blade
Blade,New Line,911849,-3,2351,388,38823259,14,1998-09-03,blade
Blade,New Line,2165000,137,2375,912,40932000,15,1998-09-04,blade
Blade,New Line,3290000,52,2375,1385,44222000,16,1998-09-05,blade
Blade,New Line,3060000,-7,2375,1288,47282000,17,1998-09-06,blade
Blade,New Line,2227575,-27,2375,938,49555263,18,1998-09-07,blade
Blade,New Line,653655,-71,2375,275,50208918,19,1998-09-08,blade
Blade,New Line,551482,-16,2375,232,50760401,20,1998-09-09,blade
Blade,New Line,488920,-11,2375,206,51249321,21,1998-09-10,blade
Blade,New Line,1330000,172,2389,557,52574000,22,1998-09-11,blade
Blade,New Line,2365000,78,2389,990,54939000,23,1998-09-12,blade
Blade,New Line,1477000,-38,2389,618,56438000,24,1998-09-13,blade
Blade,New Line,390072,-74,2389,163,56827745,25,1998-09-14,blade
Blade,New Line,468803,20,2389,196,57296548,26,1998-09-15,blade
Blade,New Line,381786,-19,2389,160,57678334,27,1998-09-16,blade
Blade,New Line,384156,1,2389,161,58062490,28,1998-09-17,blade
Blade,New Line,865000,125,2375,364,58906000,29,1998-09-18,blade
Blade,New Line,1455000,68,2375,613,60361000,30,1998-09-19,blade
Blade,New Line,904000,-38,2375,381,61305000,31,1998-09-20,blade
Blade,New Line,253880,-72,2375,107,61558598,32,1998-09-21,blade
Blade,New Line,291318,15,2375,123,61849916,33,1998-09-22,blade
Blade,New Line,219010,-25,2375,92,62068926,34,1998-09-23,blade
Blade,New Line,219624,,2375,92,62288550,35,1998-09-24,blade
Urban Legend,Sony Pictures,3700000,,2257,1639,3700000,1,1998-09-25,urban legend
Blade,New Line,525000,139,2232,235,62796000,36,1998-09-25,blade
Urban Legend,Sony Pictures,4357000,18,2257,1930,8057000,2,1998-09-26,urban legend
Blade,New Line,944000,80,2232,423,63740000,37,1998-09-26,blade
Urban Legend,Sony Pictures,2458000,-44,2257,1089,10515000,3,1998-09-27,urban legend
Blade,New Line,541000,-43,2232,242,64281000,38,1998-09-27,blade
Urban Legend,Sony Pictures,632614,-74,2257,280,11148058,4,1998-09-28,urban legend
Blade,New Line,145039,-73,2232,65,64425607,39,1998-09-28,blade
Urban Legend,Sony Pictures,928956,47,2257,412,12077013,5,1998-09-29,urban legend
Blade,New Line,175329,21,2232,79,64600936,40,1998-09-29,blade
Urban Legend,Sony Pictures,703752,-24,2257,312,12780765,6,1998-09-30,urban legend
Blade,New Line,167287,-5,2232,75,64768223,41,1998-09-30,blade
Urban Legend,Sony Pictures,625569,-11,2257,277,13406334,7,1998-10-01,urban legend
Blade,New Line,165624,-1,2232,74,64933847,42,1998-10-01,blade
Urban Legend,Sony Pictures,2160000,245,2257,957,15566000,8,1998-10-02,urban legend
Urban Legend,Sony Pictures,2950000,37,2257,1307,18516000,9,1998-10-03,urban legend
Urban Legend,Sony Pictures,1589000,-46,2257,704,20114000,10,1998-10-04,urban legend
Urban Legend,Sony Pictures,375176,-76,2257,166,20489022,11,1998-10-05,urban legend
Urban Legend,Sony Pictures,467214,25,2257,207,20956236,12,1998-10-06,urban legend
Urban Legend,Sony Pictures,352600,-25,2257,156,21308836,13,1998-10-07,urban legend
Urban Legend,Sony Pictures,421377,20,2257,187,21730213,14,1998-10-08,urban legend
Urban Legend,Sony Pictures,1485000,252,2257,658,23215000,15,1998-10-09,urban legend
Urban Legend,Sony Pictures,2076000,40,2257,920,25291000,16,1998-10-10,urban legend
Urban Legend,Sony Pictures,1210095,-42,2257,536,26501095,17,1998-10-11,urban legend
Urban Legend,Sony Pictures,532840,-56,2257,236,27033935,18,1998-10-12,urban legend
Urban Legend,Sony Pictures,323253,-39,2257,143,27357188,19,1998-10-13,urban legend
Urban Legend,Sony Pictures,287680,-11,2257,127,27644868,20,1998-10-14,urban legend
Urban Legend,Sony Pictures,327412,14,2257,145,27972280,21,1998-10-15,urban legend
Bride of Chucky,Universal,3900000,,2411,1618,3900000,1,1998-10-16,bride of chucky
Beloved,Walt Disney,2605000,,1501,1736,2605000,1,1998-10-16,beloved
Urban Legend,Sony Pictures,850000,160,2063,412,28822000,22,1998-10-16,urban legend
Bride of Chucky,Universal,4980000,28,2411,2066,8880000,2,1998-10-17,bride of chucky
Beloved,Walt Disney,3435000,32,1501,2288,6040000,2,1998-10-17,beloved
Urban Legend,Sony Pictures,1230000,45,2063,596,30052000,23,1998-10-17,urban legend
Bride of Chucky,Universal,3063000,-38,2411,1270,11831000,3,1998-10-18,bride of chucky
Beloved,Walt Disney,2170000,-37,1501,1446,8166000,3,1998-10-18,beloved
Urban Legend,Sony Pictures,689000,-44,2063,334,30859000,24,1998-10-18,urban legend
Bride of Chucky,Universal,735660,-76,2412,305,12566515,4,1998-10-19,bride of chucky
Beloved,Walt Disney,620671,-71,1501,414,8786222,4,1998-10-19,beloved
Urban Legend,Sony Pictures,192408,-72,2063,93,31051877,25,1998-10-19,urban legend
Bride of Chucky,Universal,687420,-7,2412,285,13253935,5,1998-10-20,bride of chucky
Beloved,Walt Disney,604842,-3,1501,403,9391064,5,1998-10-20,beloved
Urban Legend,Sony Pictures,221297,15,2063,107,31273174,26,1998-10-20,urban legend
Bride of Chucky,Universal,530639,-23,2412,220,13784574,6,1998-10-21,bride of chucky
Beloved,Walt Disney,520381,-14,1501,347,9911445,6,1998-10-21,beloved
Urban Legend,Sony Pictures,181759,-18,2063,88,31454933,27,1998-10-21,urban legend
Bride of Chucky,Universal,547876,3,2412,227,14332450,7,1998-10-22,bride of chucky
Beloved,Walt Disney,538788,4,1501,359,10450233,7,1998-10-22,beloved
Urban Legend,Sony Pictures,208652,15,2063,101,31663585,28,1998-10-22,urban legend
Bride of Chucky,Universal,1965000,259,2445,804,16297000,8,1998-10-23,bride of chucky
Beloved,Walt Disney,1230000,128,1507,816,11680000,8,1998-10-23,beloved
Bride of Chucky,Universal,2935000,49,2445,1200,19232000,9,1998-10-24,bride of chucky
Beloved,Walt Disney,1905000,55,1507,1264,13585000,9,1998-10-24,beloved
Bride of Chucky,Universal,1968000,-33,2445,805,21410725,10,1998-10-25,bride of chucky
Beloved,Walt Disney,1164000,-39,1507,772,14736650,10,1998-10-25,beloved
Bride of Chucky,Universal,366300,-81,2445,150,21777025,11,1998-10-26,bride of chucky
Beloved,Walt Disney,335360,-71,1507,223,15072010,11,1998-10-26,beloved
Beloved,Walt Disney,366903,9,1507,243,15438913,12,1998-10-27,beloved
Bride of Chucky,Universal,353945,-3,2445,145,22130970,12,1998-10-27,bride of chucky
Beloved,Walt Disney,313852,-14,1507,208,15752765,13,1998-10-28,beloved
Bride of Chucky,Universal,305125,-14,2445,125,22436095,13,1998-10-28,bride of chucky
Bride of Chucky,Universal,350000,15,2445,143,22800000,14,1998-10-29,bride of chucky
Bride of Chucky,Universal,1150000,229,2467,466,23950000,15,1998-10-30,bride of chucky
Bride of Chucky,Universal,1700000,48,2467,689,25650000,16,1998-10-31,bride of chucky
Vampires,Sony Pictures,2458000,,1793,1371,9106000,3,1998-11-01,vampires
Bride of Chucky,Universal,1234000,-27,2467,500,26799000,17,1998-11-01,bride of chucky
Beloved,Walt Disney,828000,,1571,527,18712000,17,1998-11-01,beloved
Vampires,Sony Pictures,708663,-71,1793,395,9815160,4,1998-11-02,vampires
Bride of Chucky,Universal,257880,-79,2467,105,27057055,18,1998-11-02,bride of chucky
Beloved,Walt Disney,222802,-73,1571,142,18935191,18,1998-11-02,beloved
Vampires,Sony Pictures,787121,11,1793,439,10602281,5,1998-11-03,vampires
Beloved,Walt Disney,273931,23,1571,174,19209122,19,1998-11-03,beloved
Bride of Chucky,Universal,270270,5,2467,110,27327325,19,1998-11-03,bride of chucky
Vampires,Sony Pictures,543369,-31,1793,303,11145650,6,1998-11-04,vampires
Beloved,Walt Disney,222984,-19,1671,133,19432106,20,1998-11-04,beloved
Bride of Chucky,Universal,196160,-27,2467,80,27523485,20,1998-11-04,bride of chucky
Vampires,Sony Pictures,516514,-5,1793,288,11662264,7,1998-11-05,vampires
Beloved,Walt Disney,227124,2,1671,136,19659230,21,1998-11-05,beloved
Bride of Chucky,Universal,196205,,2467,80,27719690,21,1998-11-05,bride of chucky
Vampires,Sony Pictures,1270000,146,1793,708,12932000,8,1998-11-06,vampires
Vampires,Sony Pictures,1690000,33,1793,943,14622000,9,1998-11-07,vampires
Vampires,Sony Pictures,951000,-44,1793,530,15578518,10,1998-11-08,vampires
Vampires,Sony Pictures,245159,-74,1793,137,15823677,11,1998-11-09,vampires
Vampires,Sony Pictures,370454,51,1793,207,16194131,12,1998-11-10,vampires
Vampires,Sony Pictures,392800,6,1793,219,16586931,13,1998-11-11,vampires
Vampires,Sony Pictures,223147,-43,1793,124,16810078,14,1998-11-12,vampires
Vampires,Sony Pictures,118476,,1793,66,18593728,18,1998-11-16,vampires
Psycho,Universal,4125000,,2477,1665,4125000,1,1998-12-04,psycho
Psycho,Universal,3915000,-5,2477,1581,8040000,2,1998-12-05,psycho
Psycho,Universal,2019000,-48,2477,815,10059000,3,1998-12-06,psycho
Psycho,Universal,495400,-75,2477,200,10527250,4,1998-12-07,psycho
Psycho,Universal,520170,5,2477,210,11047420,5,1998-12-08,psycho
Psycho,Universal,396320,-24,2473,160,11443940,6,1998-12-09,psycho
Psycho,Universal,371650,-6,2477,150,11815290,7,1998-12-10,psycho
Psycho,Universal,1320000,255,2490,530,13135290,8,1998-12-11,psycho
Psycho,Universal,1610000,22,2490,647,14745290,9,1998-12-12,psycho
Psycho,Universal,871000,-46,2490,350,15586000,10,1998-12-13,psycho
Psycho,Universal,248600,-71,2490,100,15834925,11,1998-12-14,psycho
Psycho,Universal,273683,10,2489,110,16108608,12,1998-12-15,psycho
Psycho,Universal,211480,-23,2489,85,16320085,13,1998-12-16,psycho
Psycho,Universal,223920,6,2489,90,16544005,14,1998-12-17,psycho
Psycho,Universal,575000,157,2325,247,17119000,15,1998-12-18,psycho
Psycho,Universal,805000,40,2325,346,17924000,16,1998-12-19,psycho
Psycho,Universal,568000,-29,2325,244,18473000,17,1998-12-20,psycho
Psycho,Universal,278280,-51,2324,120,18751205,18,1998-12-21,psycho
Psycho,Universal,105000,,2325,45,19458000,21,1998-12-24,psycho
The Faculty,Miramax,4270000,,2365,1805,4270000,1,1998-12-25,the faculty
The Faculty,Miramax,4e+06,-6,2365,1691,8270000,2,1998-12-26,the faculty
The Faculty,Miramax,3141000,-21,2365,1328,11411000,3,1998-12-27,the faculty
The Faculty,Miramax,2175606,-31,2365,920,13586606,4,1998-12-28,the faculty
The Faculty,Miramax,1872918,-14,2365,792,15459524,5,1998-12-29,the faculty
The Faculty,Miramax,1650000,-12,2365,698,17203000,6,1998-12-30,the faculty
The Faculty,Miramax,1120000,-32,2365,474,18323000,7,1998-12-31,the faculty
The Faculty,Miramax,3340000,198,2365,1412,21663000,8,1999-01-01,the faculty
The Faculty,Miramax,2385000,-29,2365,1008,24048000,9,1999-01-02,the faculty
The Faculty,Miramax,1590000,-33,2365,672,25895000,10,1999-01-03,the faculty
The Faculty,Miramax,577336,-64,2365,244,26472139,11,1999-01-04,the faculty
The Faculty,Miramax,624752,8,2365,264,27096891,12,1999-01-05,the faculty
The Faculty,Miramax,440456,-29,2365,186,27537347,13,1999-01-06,the faculty
The Faculty,Miramax,464329,5,2365,196,28001676,14,1999-01-07,the faculty
The Faculty,Miramax,1205000,160,2365,510,28987000,15,1999-01-08,the faculty
The Faculty,Miramax,2180000,81,2365,922,31167000,16,1999-01-09,the faculty
The Faculty,Miramax,700840,-68,2365,296,31867840,17,1999-01-10,the faculty
The Faculty,Miramax,297814,-58,2365,126,32165654,18,1999-01-11,the faculty
The Faculty,Miramax,351177,18,2365,148,32516831,19,1999-01-12,the faculty
The Faculty,Miramax,272048,-23,2365,115,32788879,20,1999-01-13,the faculty
The Faculty,Miramax,292678,8,2365,124,33081557,21,1999-01-14,the faculty
Virus,Universal,1565000,,2020,775,1565000,1,1999-01-15,virus
Virus,Universal,1935000,24,2020,958,3500000,2,1999-01-16,virus
Virus,Universal,1505000,-22,2020,745,5005000,3,1999-01-17,virus
Virus,Universal,383420,,2018,190,6397060,5,1999-01-19,virus
Virus,Universal,312790,-18,2018,155,6709850,6,1999-01-20,virus
Virus,Universal,292610,-6,2018,145,7002460,7,1999-01-21,virus
Virus,Universal,231725,,2015,115,10458190,12,1999-01-26,virus
The Rage: Carrie 2,MGM,2465000,,2286,1078,2465000,1,1999-03-12,the rage: carrie 2
The Rage: Carrie 2,MGM,2725000,11,2286,1192,5190000,2,1999-03-13,the rage: carrie 2
The Rage: Carrie 2,MGM,1683000,-38,2286,736,7065123,3,1999-03-14,the rage: carrie 2
The Rage: Carrie 2,MGM,516793,-69,2286,226,7581916,4,1999-03-15,the rage: carrie 2
The Rage: Carrie 2,MGM,511683,-1,2286,224,8093599,5,1999-03-16,the rage: carrie 2
The Rage: Carrie 2,MGM,387020,-24,2286,169,8480619,6,1999-03-17,the rage: carrie 2
The Rage: Carrie 2,MGM,421246,9,2286,184,8901865,7,1999-03-18,the rage: carrie 2
The Rage: Carrie 2,MGM,1190000,182,2286,521,10092000,8,1999-03-19,the rage: carrie 2
Ravenous,20th Century Fox,315000,,1040,303,315000,1,1999-03-19,ravenous
The Rage: Carrie 2,MGM,1710000,44,2286,748,11802000,9,1999-03-20,the rage: carrie 2
Ravenous,20th Century Fox,415000,32,1040,399,730000,2,1999-03-20,ravenous
The Rage: Carrie 2,MGM,899000,-47,2286,393,12615614,10,1999-03-21,the rage: carrie 2
Ravenous,20th Century Fox,287000,-31,1040,276,1040727,3,1999-03-21,ravenous
The Rage: Carrie 2,MGM,243415,-73,2286,106,12859029,11,1999-03-22,the rage: carrie 2
Ravenous,20th Century Fox,120885,-58,1040,116,1161612,4,1999-03-22,ravenous
The Rage: Carrie 2,MGM,239663,-2,2286,105,13098692,12,1999-03-23,the rage: carrie 2
Ravenous,20th Century Fox,122207,1,1040,118,1283819,5,1999-03-23,ravenous
The Rage: Carrie 2,MGM,206970,-14,2286,91,13305662,13,1999-03-24,the rage: carrie 2
Ravenous,20th Century Fox,101160,-17,1040,97,1384979,6,1999-03-24,ravenous
The Rage: Carrie 2,MGM,222227,7,2286,97,13527889,14,1999-03-25,the rage: carrie 2
Ravenous,20th Century Fox,104075,3,1040,100,1489054,7,1999-03-25,ravenous
The Rage: Carrie 2,MGM,440000,98,1734,254,13968000,15,1999-03-26,the rage: carrie 2
The Rage: Carrie 2,MGM,640000,45,1734,369,14608000,16,1999-03-27,the rage: carrie 2
The Rage: Carrie 2,MGM,418000,-35,1734,241,15202439,17,1999-03-28,the rage: carrie 2
The Rage: Carrie 2,MGM,135851,-67,1734,78,15338290,18,1999-03-29,the rage: carrie 2
The Rage: Carrie 2,MGM,137827,1,1734,79,15476117,19,1999-03-30,the rage: carrie 2
The Rage: Carrie 2,MGM,106635,-23,1734,61,15582752,20,1999-03-31,the rage: carrie 2
The Rage: Carrie 2,MGM,150000,41,1734,87,15733000,21,1999-04-01,the rage: carrie 2
The Rage: Carrie 2,MGM,205000,,872,235,16398714,24,1999-04-04,the rage: carrie 2
The Rage: Carrie 2,MGM,73352,-64,872,84,16472066,25,1999-04-05,the rage: carrie 2
The Rage: Carrie 2,MGM,62010,-15,872,71,16534076,26,1999-04-06,the rage: carrie 2
The Rage: Carrie 2,MGM,55384,-11,872,64,16589460,27,1999-04-07,the rage: carrie 2
The Rage: Carrie 2,MGM,53755,-3,872,62,16543215,28,1999-04-08,the rage: carrie 2
eXistenZ,Miramax,226000,,256,883,810262,3,1999-04-25,existenz
eXistenZ,Miramax,82990,-63,256,324,893252,4,1999-04-26,existenz
eXistenZ,Miramax,191598,131,256,748,1084850,5,1999-04-27,existenz
eXistenZ,Miramax,100852,-47,256,394,1185702,6,1999-04-28,existenz
eXistenZ,Miramax,74368,-26,256,291,1260070,7,1999-04-29,existenz
Idle Hands,Sony Pictures,630000,,1611,391,630000,1,1999-04-30,idle hands
Idle Hands,Sony Pictures,730000,16,1611,453,1360000,2,1999-05-01,idle hands
Idle Hands,Sony Pictures,440000,-40,1611,273,1807181,3,1999-05-02,idle hands
eXistenZ,Miramax,104000,,256,406,1643228,10,1999-05-02,existenz
Idle Hands,Sony Pictures,129528,-71,1611,80,1936709,4,1999-05-03,idle hands
eXistenZ,Miramax,44224,-57,256,173,1687452,11,1999-05-03,existenz
Idle Hands,Sony Pictures,151379,17,1611,94,2088088,5,1999-05-04,idle hands
eXistenZ,Miramax,90484,105,256,353,1777936,12,1999-05-04,existenz
Idle Hands,Sony Pictures,106792,-29,1611,66,2194880,6,1999-05-05,idle hands
eXistenZ,Miramax,53512,-41,256,209,1831448,13,1999-05-05,existenz
Idle Hands,Sony Pictures,108283,1,1611,67,2303163,7,1999-05-06,idle hands
eXistenZ,Miramax,46451,-13,256,181,1877899,14,1999-05-06,existenz
Idle Hands,Sony Pictures,245000,126,1611,152,2548000,8,1999-05-07,idle hands
Idle Hands,Sony Pictures,290000,18,1611,180,2838000,9,1999-05-08,idle hands
Idle Hands,Sony Pictures,150000,-48,1611,93,3004841,10,1999-05-09,idle hands
Idle Hands,Sony Pictures,57738,-62,1611,36,3062579,11,1999-05-10,idle hands
eXistenZ,Miramax,25452,,241,106,2119786,18,1999-05-10,existenz
Idle Hands,Sony Pictures,68421,19,1611,42,3131000,12,1999-05-11,idle hands
eXistenZ,Miramax,46383,82,241,192,2166169,19,1999-05-11,existenz
Idle Hands,Sony Pictures,54262,-21,1611,34,3185262,13,1999-05-12,idle hands
eXistenZ,Miramax,32588,-30,241,135,2198757,20,1999-05-12,existenz
Idle Hands,Sony Pictures,55000,1,1611,34,3240262,14,1999-05-13,idle hands
eXistenZ,Miramax,28000,-14,241,116,2226757,21,1999-05-13,existenz
eXistenZ,Miramax,16702,,150,111,2363115,25,1999-05-17,existenz
eXistenZ,Miramax,23512,41,150,157,2386627,26,1999-05-18,existenz
The Blair Witch Project,Artisan,31276,,1,31276,31276,1,1999-07-14,the blair witch project
The Blair Witch Project,Artisan,26143,-16,1,26143,57419,2,1999-07-15,the blair witch project
Lake Placid,20th Century Fox,3505000,,2095,1673,3505000,1,1999-07-16,lake placid
The Blair Witch Project,Artisan,5e+05,1813,27,18519,560000,3,1999-07-16,the blair witch project
Lake Placid,20th Century Fox,4105000,17,2095,1959,7610000,2,1999-07-17,lake placid
The Blair Witch Project,Artisan,5e+05,,27,18519,1060000,4,1999-07-17,the blair witch project
Lake Placid,20th Century Fox,3247000,-21,2095,1550,10974000,3,1999-07-18,lake placid
The Blair Witch Project,Artisan,501000,,27,18556,1572000,5,1999-07-18,the blair witch project
Lake Placid,20th Century Fox,1332067,-59,2096,636,12306212,4,1999-07-19,lake placid
The Blair Witch Project,Artisan,351745,-30,27,13028,1923918,6,1999-07-19,the blair witch project
Lake Placid,20th Century Fox,1301544,-2,2096,621,13607756,5,1999-07-20,lake placid
The Blair Witch Project,Artisan,375152,7,27,13895,2299070,7,1999-07-20,the blair witch project
Lake Placid,20th Century Fox,1097824,-16,2096,524,14705580,6,1999-07-21,lake placid
The Blair Witch Project,Artisan,353960,-6,27,13110,2653030,8,1999-07-21,the blair witch project
Lake Placid,20th Century Fox,1071911,-2,2096,511,15777491,7,1999-07-22,lake placid
The Blair Witch Project,Artisan,376915,6,27,13960,3029945,9,1999-07-22,the blair witch project
The Haunting,Dreamworks SKG,11800000,,2808,4202,11800000,1,1999-07-23,the haunting
Lake Placid,20th Century Fox,1635000,53,2102,778,17412000,8,1999-07-23,lake placid
The Blair Witch Project,Artisan,456000,21,27,16889,3486000,10,1999-07-23,the blair witch project
The Haunting,Dreamworks SKG,12015000,2,2808,4279,23815000,2,1999-07-24,the haunting
Lake Placid,20th Century Fox,2235000,37,2102,1063,19647000,9,1999-07-24,lake placid
