movie,distributor,gross,percent_change,theaters,per_theater,total_gross,days,date,lc_movie
Red Riding Hood,Warner Bros.,36345,-37,209,174,37395241,52,2011-05-01,red riding hood
Red Riding Hood,Warner Bros.,11231,-69,209,54,37406472,53,2011-05-02,red riding hood
Red Riding Hood,Warner Bros.,12428,11,209,59,37418900,54,2011-05-03,red riding hood
Red Riding Hood,Warner Bros.,10937,-12,209,52,37429837,55,2011-05-04,red riding hood
Red Riding Hood,Warner Bros.,10181,-7,209,49,37440018,56,2011-05-05,red riding hood
Red Riding Hood,Warner Bros.,24032,136,156,154,37464050,57,2011-05-06,red riding hood
Red Riding Hood,Warner Bros.,33942,41,156,218,37497992,58,2011-05-07,red riding hood
Red Riding Hood,Warner Bros.,24756,-27,156,159,37522748,59,2011-05-08,red riding hood
Red Riding Hood,Warner Bros.,7575,-69,156,49,37530323,60,2011-05-09,red riding hood
Red Riding Hood,Warner Bros.,8332,10,156,53,37538655,61,2011-05-10,red riding hood
Red Riding Hood,Warner Bros.,7582,-9,156,49,37546237,62,2011-05-11,red riding hood
Red Riding Hood,Warner Bros.,7436,-2,156,48,37553673,63,2011-05-12,red riding hood
Red Riding Hood,Warner Bros.,15921,114,100,159,37569594,64,2011-05-13,red riding hood
Red Riding Hood,Warner Bros.,26759,68,100,268,37596353,65,2011-05-14,red riding hood
Red Riding Hood,Warner Bros.,15634,-42,100,156,37611987,66,2011-05-15,red riding hood
Red Riding Hood,Warner Bros.,4460,-71,100,45,37616447,67,2011-05-16,red riding hood
Red Riding Hood,Warner Bros.,5307,19,100,53,37621754,68,2011-05-17,red riding hood
Red Riding Hood,Warner Bros.,4671,-12,100,47,37626425,69,2011-05-18,red riding hood
Red Riding Hood,Warner Bros.,4485,-4,100,45,37630910,70,2011-05-19,red riding hood
Red Riding Hood,Warner Bros.,5291,18,50,106,37636201,71,2011-05-20,red riding hood
Red Riding Hood,Warner Bros.,9046,71,50,181,37645247,72,2011-05-21,red riding hood
Red Riding Hood,Warner Bros.,7318,-19,50,146,37652565,73,2011-05-22,red riding hood
Red Riding Hood,Warner Bros.,2320,-68,50,46,37654885,74,2011-05-23,red riding hood
Red Riding Hood,Warner Bros.,2088,-10,50,42,37656973,75,2011-05-24,red riding hood
Red Riding Hood,Warner Bros.,2484,19,50,50,37659457,76,2011-05-25,red riding hood
Red Riding Hood,Warner Bros.,2705,9,44,61,37662162,77,2011-05-26,red riding hood
The Trip,IFC Films,37147,,40,929,801782,25,2011-07-04,the trip
The Trip,IFC Films,6400,,36,178,1957321,88,2011-09-05,the trip
The Devil Inside,Paramount Pictures,16756764,,2285,7333,16756764,1,2012-01-06,the devil inside
The Devil Inside,Paramount Pictures,11780138,-30,2285,5155,28536902,2,2012-01-07,the devil inside
The Devil Inside,Paramount Pictures,5195613,-56,2285,2274,33732515,3,2012-01-08,the devil inside
The Devil Inside,Paramount Pictures,1396343,-73,2285,611,35128858,4,2012-01-09,the devil inside
The Devil Inside,Paramount Pictures,1403607,1,2285,614,36532465,5,2012-01-10,the devil inside
The Devil Inside,Paramount Pictures,951368,-32,2285,416,37483833,6,2012-01-11,the devil inside
The Devil Inside,Paramount Pictures,863014,-9,2285,378,38346847,7,2012-01-12,the devil inside
The Devil Inside,Paramount Pictures,2713498,214,2551,1064,41060345,8,2012-01-13,the devil inside
The Devil Inside,Paramount Pictures,3098173,14,2551,1214,44158518,9,2012-01-14,the devil inside
The Devil Inside,Paramount Pictures,2216768,-28,2551,869,46375286,10,2012-01-15,the devil inside
The Devil Inside,Paramount Pictures,1006422,-55,2551,395,47381708,11,2012-01-16,the devil inside
The Devil Inside,Paramount Pictures,480205,-52,2551,188,47861913,12,2012-01-17,the devil inside
The Devil Inside,Paramount Pictures,378068,-21,2551,148,48239981,13,2012-01-18,the devil inside
The Devil Inside,Paramount Pictures,381126,1,2551,149,48621107,14,2012-01-19,the devil inside
The Devil Inside,Paramount Pictures,850138,123,2207,385,49471245,15,2012-01-20,the devil inside
The Devil Inside,Paramount Pictures,1257970,48,2207,570,50729215,16,2012-01-21,the devil inside
The Devil Inside,Paramount Pictures,560757,-55,2207,254,51289972,17,2012-01-22,the devil inside
The Devil Inside,Paramount Pictures,195101,-65,2207,88,51485073,18,2012-01-23,the devil inside
