Released,Title,Genre,ProductionBudget,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office
1997-04-25,Romy and Michele's High School Reunion,Comedy,0,29235353,57133132,0,29235353
1997-07-02,Out to Sea,Comedy,0,28985323,56644518,0,28985323
1997-05-09,Father's Day,Comedy,8.5e+07,28681080,56049951,7e+06,35681080
1997-04-11,Grosse Pointe Blank,Black Comedy,1.5e+07,28084357,54883806,2986055,31070412
1997-09-26,The Edge,Thriller/Suspense,0,27799255,54326644,6300000,34099255
1997-08-15,Event Horizon,Horror,6e+07,26673242,52126132,0,26673242
1997-12-25,An American Werewolf in Paris,Horror,0,26570463,51655880,0,26570463
1997-10-10,Boogie Nights,Drama,1.5e+07,26410771,51506162,16700954,43111725
1997-04-18,Murder at 1600,Thriller/Suspense,0,25842024,50501728,0,25842024
1997-08-22,Mimic,Horror,0,25514166,49861010,0,25514166
1997-11-21,Midnight in the Garden of Good and Evil,Drama,3.5e+07,25078937,48949523,0,25078937
1997-08-01,Air Bud,Adventure,3e+06,24646936,48166227,3141713,27788649
1997-07-25,Good Burger,Comedy,0,23712993,46341074,0,23712993
1997-08-27,Hoodlum,Drama,0,23489997,45905285,0,23489997
1997-10-31,Red Corner,Thriller/Suspense,0,22442815,43852473,0,22442815
1997-12-25,Mr. Magoo,Comedy,0,21437192,41653343,7500000,28937192
1997-12-17,The Apostle,Drama,5e+06,20733485,39656146,544285,21277770
1997-02-26,Booty Call,Comedy,0,20066917,39215737,0,20066917
1997-05-30,Gone Fishin',Comedy,0,19745922,38588429,0,19745922
1997-07-11,Thrill Ride: The Science of Fun,Documentary,0,18798682,34381104,12480529,31279211
1997-02-14,That Darn Cat,Adventure,0,18301828,35766314,0,18301828
1997-12-25,The Postman,Action,8e+07,17650704,34357773,3190419,20841123
1997-04-04,That Old Feeling,Romantic Comedy,0,16408534,32066351,830684,17239218
1997-09-05,Fire Down Below,Action,0,16148906,31558972,0,16148906
1997-09-19,Wes Craven's Wishmaster,Horror,0,15719109,30719039,0,15719109
1997-10-10,Rocket Man,Comedy,0,15448043,30189306,0,15448043
1997-11-07,Eve's Bayou,Drama,5e+06,14843425,28951626,0,14843425
1997-03-28,The Sixth Man,Comedy,0,14765099,28854669,0,14765099
1997-01-10,Jackie Chan’s First Strike,Action,0,14601662,28535265,0,14601662
1997-08-29,Excess Baggage,Comedy,0,14351432,28046257,0,14351432
1997-10-24,Fairytale: A True Story,Drama,0,14059077,27473065,0,14059077
1997-08-06,Def Jam's How To Be a Player,Comedy,1.2e+07,14010363,27379723,0,14010363
1997-11-14,The Man Who Knew Too Little,Comedy,2e+07,13801755,26966915,0,13801755
1998-07-24,Saving Private Ryan,Drama,6.5e+07,216335085,409977761,268700000,485035085
1998-07-01,Armageddon,Adventure,1.4e+08,201578182,385534385,353021818,554600000
1998-07-15,There's Something About Mary,Romantic Comedy,2.2e+07,176484651,337280710,193400000,369884651
1998-11-20,A Bug's Life,Adventure,4.5e+07,162798565,307492981,200296754,363095319
1998-11-06,The Waterboy,Comedy,2.3e+07,161491646,307184548,28700000,190191646
1998-06-26,Doctor Dolittle,Adventure,71500000,144156605,275710818,1.5e+08,294156605
1998-09-18,Rush Hour,Action,3.5e+07,141186864,269499712,104113136,245300000
1998-05-08,Deep Impact,Adventure,8e+07,140464664,268649894,2.09e+08,349464664
1998-05-19,Godzilla,Action,1.25e+08,136314294,260711983,239685706,3.76e+08
1998-12-25,Patch Adams,Comedy,5e+07,135014968,248019163,67158032,202173000
1998-07-10,Lethal Weapon 4,Action,1.4e+08,130444603,249485732,154955397,285400000
1998-06-05,The Truman Show,Drama,6e+07,125618201,240254848,138500000,264118201
1998-06-19,Mulan,Adventure,9e+07,120620254,230695878,182879746,303500000
1998-12-18,You've Got Mail,Drama,6.5e+07,115821495,215968708,134978505,250800000
1998-11-20,Enemy of the State,Action,8.5e+07,111549836,211185518,139100000,250649836
1998-12-18,The Prince of Egypt,Adventure,6e+07,101413188,188841284,117200000,218613188
1998-11-20,The Rugrats Movie,Adventure,2.8e+07,100494685,190543664,40400000,140894685
1998-12-11,Shakespeare in Love,Romantic Comedy,2.6e+07,100317794,178529148,179182206,279500000
1998-07-17,The Mask of Zorro,Adventure,6.5e+07,93828745,179454968,139871255,233700000
1998-12-25,Stepmom,Drama,5e+07,91137662,168286071,68607617,159745279
1998-10-02,Antz,Adventure,6e+07,90757863,173371371,61700000,152457863
1998-03-06,Everest,Documentary,0,87178599,163527944,40811529,127990128
1998-06-19,The X Files: Fight the Future,Action,6.6e+07,83898313,160462231,105278110,189176423
1998-01-12,The Wedding Singer,Romantic Comedy,0,80245725,153476359,43100000,123345725
1998-04-10,City of Angels,Drama,5.5e+07,78750909,150617405,1.2e+08,198750909
1998-05-15,The Horse Whisperer,Drama,6e+07,75383563,144177088,111500000,186883563
1998-06-12,"Six Days, Seven Nights",Romantic Comedy,8e+07,74339294,142179837,90460706,164800000
1998-12-11,Star Trek: Insurrection,Adventure,7e+07,70187658,132546021,47612342,117800000
1998-08-21,Blade,Action,4.5e+07,70141876,134151938,61095812,131237688
1998-04-03,Lost In Space,Adventure,8e+07,69117629,132192989,66929688,136047317
1998-06-05,A Perfect Murder,Thriller/Suspense,0,67658331,129401965,0,67658331
1998-07-29,The Parent Trap,Adventure,0,66308518,126820336,17668900,83977418
1998-07-31,Ever After: A Cinderella Story,Drama,2.6e+07,65705772,125663304,0,65705772
1998-05-29,Hope Floats,Drama,3e+07,60110313,114965772,21418687,81529000
1998-03-06,U.S. Marshals,Thriller/Suspense,0,57833603,110611384,0,57833603
1998-10-23,La vita è bella,Drama,2e+07,57598247,103379313,171787114,229385361
1998-03-13,The Man in the Iron Mask,Adventure,3.5e+07,56968169,108956177,0,56968169
1998-12-25,A Civil Action,Drama,6e+07,56709981,100169820,0,56709981
1998-08-07,Snake Eyes,Thriller/Suspense,7.3e+07,55591409,106323007,48300000,103891409
1998-10-02,What Dreams May Come,Drama,8e+07,55485043,106119576,1.6e+07,71485043
1998-07-10,Small Soldiers,Adventure,4e+07,55143823,105466964,16600000,71743823
1998-08-05,Halloween: H2O,Horror,1.7e+07,55041738,105271723,0,55041738
1998-10-23,T-Rex: Back to the Cretaceous,Adventure,0,53743249,89282778,49300000,103043249
1998-12-25,Mighty Joe Young,Adventure,8e+07,50632037,93537034,0,50632037
1998-10-16,Practical Magic,Comedy,6e+07,46850558,89605429,21486439,68336997
1998-07-29,The Negotiator,Action,5e+07,44705766,85503350,4400000,49105766
1998-11-13,Meet Joe Black,Drama,8.5e+07,44650003,85240421,0,44650003
1998-09-25,Ronin,Action,5.5e+07,41610884,79571139,29081217,70692101
1998-11-06,The Siege,Action,7e+07,40934175,78177021,75691623,116625798
1998-07-16,Mysteries of Egypt,Documentary,0,40593286,70284641,49406714,9e+07
1998-10-23,Pleasantville,Comedy,0,40584421,77371345,9221041,49805462
1998-12-25,The Faculty,Horror,1.5e+07,40283321,74964461,0,40283321
1998-11-13,I Still Know What You Did Last Summer,Horror,2.4e+07,40020622,76422068,0,40020622
1998-03-20,Primary Colors,Comedy,6.5e+07,39017984,74625009,0,39017984
1998-09-25,Urban Legend,Horror,1.4e+07,38116707,72873150,34455157,72571864
1998-08-14,How Stella Got Her Groove Back,Drama,2e+07,37672944,72052018,0,37672944
1998-06-26,Out of Sight,Drama,4.8e+07,37562568,71841412,4e+07,77562568
1998-02-13,Sphere,Horror,7.3e+07,37068294,70896072,13100000,50168294
1998-12-23,The Thin Red Line,Drama,5.2e+07,36400491,64426083,61308543,97709034
1998-12-11,Jack Frost,Comedy,5e+07,34645374,65763986,0,34645374
1998-04-03,Mercury Rising,Thriller/Suspense,6e+07,32983332,63083256,0,32983332
1998-10-16,Bride of Chucky,Horror,2.5e+07,32404188,61975596,18288000,50692188
1998-10-02,A Night at the Roxbury,Comedy,1.7e+07,30331165,58010775,0,30331165
1998-11-06,Elizabeth,Drama,2.5e+07,30082699,55552950,52067943,82150642
1998-07-10,Madeline,Adventure,0,29858048,57105899,0,29858048
1998-03-20,Wild Things,Thriller/Suspense,2e+07,29795299,56985890,25781400,55576699
1998-01-23,Spice World,Comedy,2.5e+07,29342592,56120052,26700000,56042592
1998-04-17,The Object of my Affection,Romantic Comedy,1.5e+07,29145924,55743904,0,29145924
1998-04-17,Paulie,Adventure,0,27084499,51801266,0,27084499
1998-04-24,The Big Hit,Action,1.3e+07,27066941,51767682,0,27066941
1998-05-15,Bulworth,Comedy,3e+07,26528684,50738222,2674699,29203383
1998-01-30,Great Expectations,Drama,0,26333044,50364047,29073394,55406438
1998-06-12,Can't Hardly Wait,Comedy,1e+07,25358996,48501104,0,25358996
1998-01-16,Fallen,Thriller/Suspense,0,25310938,48409188,0,25310938
1998-11-20,Waking Ned Devine,Comedy,3e+06,24793251,44800432,30400000,55193251
1998-08-14,The Avengers,Adventure,6e+07,23385416,44726474,25200000,48585416
1998-09-18,One True Thing,Drama,3e+07,23337196,44634245,3371000,26708196
