title,startYear,url
Ringu,1998,https://www.rottentomatoes.com/m/ringu
The Item,1999,https://www.rottentomatoes.com/m/item
The Blair Witch Project,1999,https://www.rottentomatoes.com/m/blair_witch_project
Anatomy,2000,https://www.rottentomatoes.com/m/anatomy
Blade II,2002,https://www.rottentomatoes.com/m/blade_ii
The Quiet Family,1998,https://www.rottentomatoes.com/m/quiet_family
Cut,2000,https://www.rottentomatoes.com/m/cut
Shadow of the Vampire,2000,https://www.rottentomatoes.com/m/shadow_of_the_vampire
Sixteen Tongues,1999,https://www.rottentomatoes.com/m/sixteen_tongues
Buttcrack,1998,https://www.rottentomatoes.com/m/buttcrack
Alien Blood,1999,https://www.rottentomatoes.com/m/alien_blood
Urban Legends: Final Cut,2000,https://www.rottentomatoes.com/m/urban_legends_final_cut
The Haunting of Hell House,1999,https://www.rottentomatoes.com/m/haunting_of_hell_house
Final Destination,2000,https://www.rottentomatoes.com/m/final_destination
Paranoid,2000,https://www.rottentomatoes.com/m/paranoid
Bats,1999,https://www.rottentomatoes.com/m/bats
Blood Dolls,1999,https://www.rottentomatoes.com/m/blood_dolls
Spiders,2000,https://www.rottentomatoes.com/m/spiders
Exorcist: The Beginning,2004,https://www.rottentomatoes.com/m/exorcist_the_beginning
Hookers in a Haunted House,1999,https://www.rottentomatoes.com/m/hookers_in_a_haunted_house
The Watcher,2000,https://www.rottentomatoes.com/m/watcher
Trouble Every Day,2001,https://www.rottentomatoes.com/m/trouble_every_day
Psycho Beach Party,2000,https://www.rottentomatoes.com/m/psycho_beach_party
Mirror,1999,https://www.rottentomatoes.com/m/mirror
Gemini,1999,https://www.rottentomatoes.com/m/gemini
Terror Tract,2000,https://www.rottentomatoes.com/m/terror_tract
Bruiser,2000,https://www.rottentomatoes.com/m/bruiser
Belphegor: Phantom of the Louvre,2001,https://www.rottentomatoes.com/m/belphegor_phantom_of_the_louvre
Route 666,2001,https://www.rottentomatoes.com/m/route_666
The Convent,2000,https://www.rottentomatoes.com/m/convent
Nang Nak,1999,https://www.rottentomatoes.com/m/nang_nak
The St. Francisville Experiment,2000,https://www.rottentomatoes.com/m/st_francisville_experiment
In the Woods,1999,https://www.rottentomatoes.com/m/in_the_woods
Dracula 2000,2000,https://www.rottentomatoes.com/m/dracula_2000
Halloween: Resurrection,2002,https://www.rottentomatoes.com/m/halloween_resurrection
Sleepless,2001,https://www.rottentomatoes.com/m/sleepless
Chasing Sleep,2000,https://www.rottentomatoes.com/m/chasing_sleep
Andromina: The Pleasure Planet,1999,https://www.rottentomatoes.com/m/andromina_the_pleasure_planet
Beyond Re-Animator,2003,https://www.rottentomatoes.com/m/beyond_reanimator
Dark Asylum,2001,https://www.rottentomatoes.com/m/dark_asylum
Faces of Gore,1999,https://www.rottentomatoes.com/m/faces_of_gore
Ángel negro,2000,https://www.rottentomatoes.com/m/angel_negro
Sleepwalker,2000,https://www.rottentomatoes.com/m/sleepwalker
The Spreading Ground,2000,https://www.rottentomatoes.com/m/spreading_ground
Book of Shadows: Blair Witch 2,2000,https://www.rottentomatoes.com/m/book_of_shadows_blair_witch_2
Ancient Evil: Scream of the Mummy,1999,https://www.rottentomatoes.com/m/ancient_evil_scream_of_the_mummy
Cookers,2001,https://www.rottentomatoes.com/m/cookers
The Doorway,2000,https://www.rottentomatoes.com/m/doorway
Love Bites,2001,https://www.rottentomatoes.com/m/love_bites
Ringu 0,2000,https://www.rottentomatoes.com/m/ringu_0
A Crack in the Floor,2001,https://www.rottentomatoes.com/m/a_crack_in_the_floor
Cannibal Rollerbabes,1997,https://www.rottentomatoes.com/m/cannibal_rollerbabes
Sacred Flesh,2000,https://www.rottentomatoes.com/m/sacred_flesh
Queen of the Damned,2002,https://www.rottentomatoes.com/m/queen_of_the_damned
Wild Flowers,2000,https://www.rottentomatoes.com/m/wild_flowers
Hardcore Poisoned Eyes,2000,https://www.rottentomatoes.com/m/hardcore_poisoned_eyes
Valentine,2001,https://www.rottentomatoes.com/m/valentine
La fiancée de Dracula,2002,https://www.rottentomatoes.com/m/la_fiancee_de_dracula
"See You in Hell, My Darling",1999,https://www.rottentomatoes.com/m/see_you_in_hell_my_darling
Another Heaven,2000,https://www.rottentomatoes.com/m/another_heaven
The Forsaken,2001,https://www.rottentomatoes.com/m/forsaken
Devil's Prey,2001,https://www.rottentomatoes.com/m/devils_prey
Oliver Twisted,2000,https://www.rottentomatoes.com/m/oliver_twisted
Kiss the Girls Goodbye,1997,https://www.rottentomatoes.com/m/kiss_the_girls_goodbye
Kat,2001,https://www.rottentomatoes.com/m/kat
Carnivore,2000,https://www.rottentomatoes.com/m/carnivore
The Remnant,2001,https://www.rottentomatoes.com/m/remnant
House of 1000 Corpses,2003,https://www.rottentomatoes.com/m/house_of_1000_corpses
Sideshow,2000,https://www.rottentomatoes.com/m/sideshow
Common Wealth,2000,https://www.rottentomatoes.com/m/common_wealth
Godzilla vs. Megaguirus,2000,https://www.rottentomatoes.com/m/godzilla_vs_megaguirus
Living Hell,2000,https://www.rottentomatoes.com/m/living_hell
Wishcraft,2002,https://www.rottentomatoes.com/m/wishcraft
Cubbyhouse,2001,https://www.rottentomatoes.com/m/cubbyhouse
The Devil's Backbone,2001,https://www.rottentomatoes.com/m/devils_backbone
Beneath Loch Ness,2001,https://www.rottentomatoes.com/m/beneath_loch_ness
Session 9,2001,https://www.rottentomatoes.com/m/session_9
Jeepers Creepers,2001,https://www.rottentomatoes.com/m/jeepers_creepers
Mindstorm,2001,https://www.rottentomatoes.com/m/mindstorm
2001 Maniacs,2005,https://www.rottentomatoes.com/m/2001_maniacs
Dagon,2001,https://www.rottentomatoes.com/m/dagon
Head Cheerleader Dead Cheerleader,2000,https://www.rottentomatoes.com/m/head_cheerleader_dead_cheerleader
Elvira's Haunted Hills,2001,https://www.rottentomatoes.com/m/elviras_haunted_hills
The Mothman Prophecies,2002,https://www.rottentomatoes.com/m/mothman_prophecies
Do You Wanna Know a Secret?,2001,https://www.rottentomatoes.com/m/do_you_wanna_know_a_secret
Truth About Demons,2000,https://www.rottentomatoes.com/m/truth_about_demons
No One Can Hear You,2001,https://www.rottentomatoes.com/m/no_one_can_hear_you
